City,Year,Current_Rent_2025,Predicted_Growth_2026_Pct,Forecast_Rent_2026,Cap_Rate,Student_Supply_Mismatch
Ottawa,2025,1757.0,15.205829,2024.166334271431,5.240973588814086,0.0
Windsor,2025,1451.0,8.931981,1580.6030663251877,4.445238703089099,
Montreal,2025,1346.0,8.208922,1456.4920439720154,3.7971945772274895,0.0
Victoria,2025,2120.0,7.588059,2280.8667182922363,4.614128956198422,-3.936073059360723
Calgary,2025,1914.0,7.3798876,2055.251084804535,6.976207350410044,-11.013270494853034
St. Johns,2025,1348.0,6.6818247,1438.0709838867188,6.419259896160588,
Quebec City,2025,1276.0,6.5165033,1359.1505947113037,5.279393173198484,0.0
Vancouver,2025,2363.0,6.483938,2516.2154150009155,3.827839899205795,-2.361488091882191
Halifax,2025,1826.0,5.7150035,1930.3559114933014,4.855127589645112,-4.497279196316439
Edmonton,2025,1603.0,5.298167,1687.929528951645,9.28901408450704,-5.594731627717242
Toronto,2025,2046.0,4.4158525,2136.348450422287,4.231461932870869,-0.4277844826556132
Saskatoon,2025,1548.0,4.352342,1615.374270915985,7.32540256325994,-4.000686813186816
Hamilton,2025,1656.0,4.1076326,1724.0223569869995,4.032944917045781,0.0374078556496848
Regina,2025,1473.0,3.7564604,1528.3327077627182,8.287891220255538,-2.1808143547273895
Winnipeg,2025,1571.0,3.0477517,1618.8801898956299,8.209311608665676,-2.571311587279923
London,2025,1651.0,1.723131,1679.4489508867264,5.540655806474167,-2.102139492415289
