Province,Year,GDP_Millions,GDP_Growth_Pct
Alberta,2015,317733.1,
Alberta,2016,306174.0,-3.637990502091215
Alberta,2017,319212.0,4.258362891689038
Alberta,2018,325837.8,2.0756738468478586
Alberta,2019,326213.1,0.11518000673955697
Alberta,2020,300801.4,-7.789907885366942
Alberta,2021,316815.7,5.323878146843719
Alberta,2022,336275.0,6.142151414844643
Alberta,2023,344149.0,2.34153594528288
Alberta,2024,353296.8,2.6580928609410526
British Columbia,2015,243845.5,
British Columbia,2016,251036.3,2.948916424539294
British Columbia,2017,260220.3,3.6584350550099787
British Columbia,2018,270106.4,3.799127124209778
British Columbia,2019,277848.2,2.8662038367102793
British Columbia,2020,269189.9,-3.116197981487734
British Columbia,2021,290177.5,7.796577806225269
British Columbia,2022,302118.6,4.115101963453394
British Columbia,2023,309420.4,2.416865429669035
British Columbia,2024,313136.8,1.2010843499652868
Manitoba,2015,62936.3,
Manitoba,2016,63878.2,1.496592586472345
Manitoba,2017,66007.1,3.332748887726966
Manitoba,2018,67372.8,2.0690198478648503
Manitoba,2019,68085.8,1.0582905861119096
Manitoba,2020,65309.9,-4.077061589935049
Manitoba,2021,66336.7,1.5721965582553343
Manitoba,2022,69231.9,4.364401605747648
Manitoba,2023,70527.8,1.871824982414183
Manitoba,2024,71271.8,1.0549031729332192
New Brunswick,2015,31418.4,
New Brunswick,2016,31708.5,0.923344282331362
New Brunswick,2017,32456.4,2.358673541794798
New Brunswick,2018,32900.5,1.3682971617308137
New Brunswick,2019,33347.6,1.3589459126760906
New Brunswick,2020,32134.5,-3.637743045976316
New Brunswick,2021,33903.0,5.503430892031935
New Brunswick,2022,34605.9,2.0732678524024495
New Brunswick,2023,35207.2,1.737564981693862
New Brunswick,2024,35836.7,1.7879865482060442
Newfoundland and Labrador,2015,30153.1,
Newfoundland and Labrador,2016,30619.0,1.5451147643194219
Newfoundland and Labrador,2017,31002.6,1.2528168784088356
Newfoundland and Labrador,2018,30128.6,-2.8191183965215805
Newfoundland and Labrador,2019,31306.8,3.910570023167348
Newfoundland and Labrador,2020,29848.0,-4.6596905464627465
Newfoundland and Labrador,2021,30157.4,1.0365853658536706
Newfoundland and Labrador,2022,29659.5,-1.6510043969307775
Newfoundland and Labrador,2023,28952.6,-2.3833847502486627
Newfoundland and Labrador,2024,29645.2,2.3921858485939085
Nova Scotia,2015,38025.3,
Nova Scotia,2016,38542.0,1.3588321459659713
Nova Scotia,2017,39329.1,2.0421877432411417
Nova Scotia,2018,40021.6,1.7607827283105948
Nova Scotia,2019,41404.3,3.4548843624442993
Nova Scotia,2020,39525.3,-4.538175986552117
Nova Scotia,2021,42101.0,6.516585579363077
Nova Scotia,2022,43555.4,3.454549773164528
Nova Scotia,2023,44453.4,2.061742057242033
Nova Scotia,2024,45644.6,2.679660048500221
Ontario,2015,727609.6,
Ontario,2016,743976.2,2.2493655938569113
Ontario,2017,764464.8,2.7539321822391827
Ontario,2018,789531.6,3.278999896398105
Ontario,2019,807274.5,2.2472691403358613
Ontario,2020,769942.0,-4.624511241219686
Ontario,2021,817265.5,6.1463720643892605
Ontario,2022,850461.9,4.06188686540665
Ontario,2023,865859.6,1.8105102650688876
Ontario,2024,876619.7,1.2427072472257494
Prince Edward Island,2015,5768.5,
Prince Edward Island,2016,5892.0,2.1409378521279443
Prince Edward Island,2017,6156.5,4.489137813985056
Prince Edward Island,2018,6267.3,1.799723869081471
Prince Edward Island,2019,6559.4,4.660699184656858
Prince Edward Island,2020,6366.4,-2.9423422874043315
Prince Edward Island,2021,6873.7,7.968396582055792
Prince Edward Island,2022,7189.9,4.600142572413701
Prince Edward Island,2023,7338.6,2.0681789732819755
Prince Edward Island,2024,7604.7,3.6260322132286804
Quebec,2015,369733.7,
Quebec,2016,375695.6,1.6124848776294831
Quebec,2017,386407.5,2.851217847640486
Quebec,2018,398857.9,3.2220906685299866
Quebec,2019,410746.6,2.980685602566724
Quebec,2020,391038.5,-4.798116405589237
Quebec,2021,419899.5,7.380603188688584
Quebec,2022,434498.2,3.476712880105848
Quebec,2023,437230.9,0.6289324098465832
Quebec,2024,442865.8,1.288769846778881
Saskatchewan,2015,73866.1,
Saskatchewan,2016,73627.8,-0.3226107781512777
Saskatchewan,2017,75302.1,2.2740051991231525
Saskatchewan,2018,76509.8,1.6038065339479157
Saskatchewan,2019,75969.8,-0.7057919377648325
Saskatchewan,2020,72791.3,-4.1838993916003435
Saskatchewan,2021,71076.8,-2.35536389650961
Saskatchewan,2022,76120.6,7.096267699164849
Saskatchewan,2023,77895.7,2.3319574464730763
Saskatchewan,2024,80518.8,3.3674516051592107
