Year,Average rent ($),GDP_Growth_Pct,Rent_Index,Wage_Index,Scenario
2015,824.8756218905472,0.0,100.0,100.0,Historical
2016,832.010101010101,0.29055279593925776,100.86491574368534,100.29055279593926,Historical
2017,856.9234693877551,0.7949249869592618,103.885173309372,101.08778745967375,Historical
2018,886.7720207253886,0.7291319915832333,107.50372506984507,101.8248508576259,Historical
2019,926.7929292929293,0.5218110526073487,112.35547574660964,102.35618418370196,Historical
2020,940.0646766169154,-1.1802135762891883,113.96441495778046,101.14816260179434,Historical
2021,978.9108910891089,1.4936187038882693,118.67375700175566,102.65893047705406,Historical
2022,1045.1928934010152,1.103173041310095,126.70915052690232,103.79143612257418,Historical
2023,1103.57,0.4490420843954799,133.78623039806996,104.257503350763,Historical
2024,1174.9850746268658,0.41554148906679367,142.44390832328108,104.69073653265063,Historical
2025,1259.3168316831684,0.0,152.66748080115613,104.69073653265063,Historical
2026,1282.9725341796875,1.5,155.53527103143378,106.26109758064038,Forecast (Status Quo)
2027,1282.9725341796875,1.5,155.53527103143378,107.85501404434997,Forecast (Status Quo)
2028,1282.9725341796875,1.5,155.53527103143378,109.47283925501522,Forecast (Status Quo)
2029,1282.9725341796875,1.5,155.53527103143378,111.11493184384044,Forecast (Status Quo)
2030,1282.9725341796875,1.5,155.53527103143378,112.78165582149803,Forecast (Status Quo)
